#X,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f32,f33,f34,f35,Y
SWB077+1.p,111,1047,1158,5192,21403,4,206,111,745,176,0,201,1,201,208,0.024272,0.966346,7,3,668,2,1,G,H,S,M,N,3,3,L,M,23
SWC190-1.p,14,185,199,620,1881,3,64,14,152,86,5,22,3,22,64,0.65625,0.34375,2,1,54,5,1,G,H,S,M,N,2,1,L,M,23
SWV539-1.004.p,1,5,6,8,862,1,3,1,3,6,6,0,1,0,5,1,0,3,2,5,13,3,G,U,P,S,G,3,2,M,D,23
SWV822-1.p,41,680,721,1808,10596,25,110,41,592,321,109,37,2,40,126,0.663636,0.31746,6,2,42,5,1,G,H,S,M,N,3,2,L,M,23
TOP025+2.p,141,8647,8788,54095,222745,71,532,141,3566,3762,203,297,55,460,821,0.441729,0.560292,8,2,2897,8,1,G,H,S,M,N,3,2,L,D,23
COM023+1.p,2,44,46,214,639,1,3,2,26,2,0,3,1,3,3,0,1,4,1,27,2,1,G,H,S,F,N,3,1,L,M,24
CSR051+5.p,9652,530592,540244,920052,2635323,1566,166679,9652,530592,12,0,158322,315,158322,166679,0.050138,0.949862,5,1,3216,8,1,H,H,S,M,N,3,1,L,D,24
GEO010-2.p,4,20,24,72,350,3,4,4,14,7,0,1,4,1,4,0.75,0.25,6,5,25,2,1,G,H,S,S,G,3,3,L,M,24
GRP195-1.p,1,2,3,3,53,1,2,1,2,3,3,0,1,0,2,1,0,2,2,2,8,4,U,U,P,S,G,2,2,S,D,24
GRP751-1.p,1,7,8,8,92,1,7,1,7,8,8,0,1,0,7,1,0,2,2,6,4,2,U,U,P,M,G,2,2,M,M,24
GRP752-1.p,1,7,8,8,92,1,7,1,7,8,8,0,1,0,7,1,0,2,2,6,4,2,U,U,P,M,G,2,2,M,M,24
HWV009-1.p,8,83,91,372,1245,2,4,8,18,46,5,2,0,2,10,0.5,0.2,2,1,8,3,1,G,H,S,S,N,2,1,M,M,24
KLE072+1.p,1,18,19,21,161,1,16,1,18,19,17,1,1,1,16,0.9375,0.0625,2,1,5,5,2,H,U,S,M,G,2,1,M,M,24
LCL172-1.p,1,8,9,14,96,1,5,1,8,0,0,0,1,0,5,1,0,2,1,3,6,3,H,U,N,M,G,2,1,S,D,24
LCL789-1.p,19,302,321,577,4728,19,109,19,273,212,151,34,1,34,116,0.688073,0.293103,5,2,116,6,2,G,U,S,M,N,3,2,L,D,24
NUM844+2.p,2,18,20,24,211,2,14,2,17,18,18,6,1,6,15,0.571429,0.4,2,1,5,4,2,G,U,S,M,N,2,1,M,M,24
RNG099+2.p,5,75,80,261,932,1,14,5,62,41,3,14,1,14,14,0,1,4,2,38,3,1,G,H,S,F,N,3,2,L,M,24
RNG106+2.p,3,144,147,627,2343,2,5,3,118,96,1,5,3,6,6,0,1,4,2,73,4,1,G,H,S,F,G,3,2,L,M,24
SET580+3.p,1,13,14,34,162,0,2,1,9,4,2,0,0,1,4,1,0.25,2,2,6,3,1,G,H,S,S,N,2,2,M,M,24
SET821-1.p,40,1319,1359,2563,8582,34,184,40,1290,132,91,125,7,125,192,0.320652,0.651042,6,3,319,4,1,G,H,S,M,N,3,3,L,M,24
SEU040+1.p,7,51,58,99,268,3,26,7,49,2,0,22,3,22,27,0.153846,0.814815,2,1,8,3,1,G,H,S,M,N,2,1,M,M,24
SWC381-1.p,14,187,201,633,1920,2,59,14,151,87,3,17,2,20,62,0.711864,0.322581,2,1,54,5,1,G,H,S,M,N,2,1,L,M,24
SWV371+1.p,9,79,88,180,876,7,17,9,63,34,11,1,3,1,23,0.941176,0.043478,3,1,42,5,1,G,H,S,M,N,3,1,L,M,24
SWV781-1.p,22,519,541,1101,7726,19,172,22,431,306,205,13,4,13,206,0.924419,0.063107,5,2,169,5,1,G,H,S,M,N,3,2,L,M,24
SWV963-1.p,171,291,462,797,28846,171,64,171,279,227,212,8,5,8,64,0.875,0.125,8,3,164,10,2,G,U,S,M,N,3,3,L,D,24
SWW375+1.p,248,7043,7291,17865,217120,133,1589,248,5681,4328,1777,309,17,310,1934,0.805538,0.16029,11,3,2534,22,3,G,H,S,M,N,3,3,L,D,24
SWW383+1.p,226,7109,7335,18072,218725,111,1582,226,5717,4294,1721,321,19,322,1936,0.797092,0.166322,11,3,2630,22,3,G,H,S,M,N,3,3,L,D,24
ALG194+1.p,316,239,555,1491,8197,315,49,316,91,555,555,49,316,197,197,0,1,2,2,2,4,1,G,H,P,F,G,2,2,S,M,25
COL004-3.p,1,2,3,3,59,1,2,1,2,3,3,0,1,0,2,1,0,2,2,2,9,4,U,U,P,S,G,2,2,S,D,25
CSR083+3.p,1455,159544,160999,309881,1108191,7,130174,1455,158478,9536,43,130153,6,130153,130205,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D,25
CSR085+3.p,1455,159547,161002,309884,1108200,8,130176,1455,158481,9535,43,130155,7,130155,130207,0.000161,0.999601,11,3,23673,7,1,G,H,S,M,N,3,3,L,D,25
CSR085+6.p,1455,70032,71487,220369,839655,8,40661,1455,68966,9535,43,40640,7,40640,40692,0.000516,0.998722,11,3,23673,7,1,G,H,S,M,N,3,3,L,D,25
CSR085+7.p,1455,70032,71487,220369,839655,8,40661,1455,68966,9535,43,40640,6,40640,40692,0.000516,0.998722,11,3,23673,7,1,G,H,S,M,N,3,3,L,D,25
GRP168-1.p,1,16,17,17,159,1,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,7,4,2,U,U,P,M,G,2,1,M,M,25
GRP168-2.p,1,16,17,17,159,1,16,1,16,17,17,1,1,1,16,0.9375,0.0625,2,1,7,4,2,U,U,P,M,G,2,1,M,M,25
SWC006+1.p,14,186,200,721,2106,2,21,14,115,91,5,21,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC006-1.p,14,183,197,620,1883,2,63,14,150,86,5,21,2,21,63,0.666667,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC007-1.p,14,179,193,616,1868,2,59,14,146,85,4,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC009+1.p,15,185,200,728,2128,2,19,15,114,92,5,19,2,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC009-1.p,15,182,197,627,1905,2,61,15,149,87,5,19,2,19,61,0.688525,0.311475,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC010+1.p,14,196,210,756,2223,2,17,14,119,96,3,17,2,22,22,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC011+1.p,14,194,208,746,2195,2,17,14,118,94,3,17,2,22,22,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC012+1.p,14,188,202,734,2155,2,17,14,115,92,3,17,2,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC013+1.p,14,186,200,742,2167,2,17,14,114,92,3,17,2,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC094-1.p,14,179,193,616,1868,2,59,14,146,85,4,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC095+1.p,14,186,200,721,2106,2,21,14,115,91,5,21,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC095-1.p,14,183,197,620,1883,2,63,14,150,86,5,21,2,21,63,0.666667,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC096-1.p,14,189,203,639,1950,2,59,14,152,89,3,17,2,21,63,0.711864,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC185+1.p,15,186,201,727,2127,2,20,15,114,91,4,20,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC185-1.p,15,183,198,626,1904,2,62,15,149,86,4,20,2,21,63,0.677419,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC312+1.p,14,189,203,735,2160,2,16,14,117,95,4,16,2,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC317+1.p,14,192,206,740,2181,2,17,14,117,94,3,17,2,21,21,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWC317-1.p,14,189,203,639,1958,2,59,14,152,89,3,17,2,21,63,0.711864,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,25
SWC320+1.p,14,189,203,735,2160,2,16,14,117,95,4,16,2,17,17,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,25
SWV569-1.050.p,86,406,492,493,5701,86,405,86,405,492,492,404,4,404,406,0.002469,0.995074,3,2,6,83,4,G,U,P,F,N,3,2,M,D,25
SYN559-1.p,1,13,14,32,124,0,6,1,13,0,0,5,0,5,6,0.166667,0.833333,2,1,7,3,1,H,H,N,F,N,2,1,M,M,25
SYN561-1.p,1,14,15,34,134,0,6,1,14,0,0,5,0,5,6,0.166667,0.833333,2,1,8,4,1,H,H,N,F,N,2,1,M,M,25
ALG005-1.p,1,3,4,4,54,1,3,1,3,4,4,0,1,0,3,1,0,2,2,2,5,3,U,U,P,S,G,2,2,S,M,26
GRP084-1.p,1,1,2,5,65,0,1,1,1,2,2,0,1,0,1,1,0,2,1,3,10,3,U,H,P,F,G,2,1,S,D,26
KLE071+1.p,1,18,19,21,162,1,16,1,18,19,17,1,1,1,16,0.9375,0.0625,2,1,5,4,2,H,U,S,M,G,2,1,M,M,26
LAT044-1.p,1,14,15,15,124,1,14,1,14,15,15,0,1,0,14,1,0,2,1,5,4,2,U,U,P,M,G,2,1,M,M,26
LCL109-3.p,1,14,15,17,137,1,12,1,14,15,15,0,1,0,12,1,0,2,1,3,4,2,H,U,P,M,G,2,1,S,M,26
ANA045-1.p,85,2690,2775,6105,30247,48,590,85,2442,1044,546,171,9,171,654,0.710169,0.261468,18,2,550,8,1,G,H,S,M,N,3,2,L,D,27
COL101-1.p,50,1333,1383,2625,9233,44,184,50,1297,149,99,123,10,123,192,0.331522,0.640625,6,3,335,5,1,G,H,S,M,N,3,3,L,M,27
COL103-1.p,50,1334,1384,2627,9261,44,184,50,1298,149,99,123,10,123,192,0.331522,0.640625,6,3,335,5,1,G,H,S,M,N,3,3,L,M,27
COL105-1.p,50,1354,1404,2682,9830,43,188,50,1312,160,99,124,9,124,196,0.340426,0.632653,6,3,357,5,1,G,H,S,M,N,3,3,L,M,27
COL111-1.p,50,1354,1404,2682,9830,43,188,50,1312,160,99,124,9,124,196,0.340426,0.632653,6,3,357,5,1,G,H,S,M,N,3,3,L,M,27
COL116-1.p,50,1353,1403,2680,9816,44,187,50,1311,160,99,123,9,123,195,0.342246,0.630769,6,3,357,5,1,G,H,S,M,N,3,3,L,M,27
COL120-1.p,47,1323,1370,2583,8763,40,184,47,1295,140,99,125,9,125,192,0.320652,0.651042,6,3,325,4,1,G,H,S,M,N,3,3,L,M,27
COL122-1.p,47,1322,1369,2580,8742,40,183,47,1294,140,99,124,9,124,191,0.322404,0.649215,6,3,324,4,1,G,H,S,M,N,3,3,L,M,27
GRP669-1.p,1,10,11,11,117,1,10,1,10,11,11,0,1,0,10,1,0,2,2,6,5,2,U,U,P,M,G,2,2,M,M,27
LCL441-1.p,48,1327,1375,2590,8839,40,183,48,1299,141,100,123,9,123,191,0.327869,0.643979,6,3,327,5,1,G,H,S,M,N,3,3,L,M,27
LCL822-1.p,27,203,230,440,3173,19,62,27,191,107,74,19,3,19,69,0.693548,0.275362,5,2,81,6,1,G,H,S,M,N,3,2,L,D,27
LCL825-1.p,19,462,481,905,6473,19,174,19,426,287,214,26,2,26,181,0.850575,0.143646,5,2,180,8,1,G,U,S,M,N,3,2,L,D,27
NUM139-1.p,5,136,141,305,3112,2,27,5,124,50,11,15,2,15,31,0.444444,0.483871,3,1,40,25,2,G,H,S,M,N,3,1,L,D,27
PUZ063-1.p,85,2641,2726,5988,29888,48,595,85,2393,1045,548,172,10,172,659,0.710924,0.261002,18,3,544,8,1,G,H,S,M,N,3,3,L,D,27
SET101+1.p,5,77,82,178,1359,2,10,5,66,19,0,5,1,5,16,0.5,0.3125,2,1,26,14,1,G,H,S,M,N,2,1,L,D,27
SET102+1.p,5,77,82,178,1361,2,10,5,66,19,0,5,1,5,16,0.5,0.3125,2,1,26,14,1,G,H,S,M,N,2,1,L,D,27
SET105-7.p,11,124,135,284,2608,5,27,11,99,57,11,9,3,9,42,0.666667,0.214286,3,1,26,25,2,G,H,S,M,N,3,1,L,D,27
SWV008-1.p,4,11,15,27,100,2,6,4,9,5,4,2,1,2,7,0.666667,0.285714,1,1,3,3,1,G,H,S,M,N,1,1,S,M,27
SWV257-1.p,92,2692,2784,6070,30392,55,622,92,2443,1091,594,174,12,174,686,0.720257,0.253644,18,2,556,8,1,G,H,S,M,N,3,2,L,D,27
SWV341-1.p,129,2813,2942,6335,32448,92,669,129,2548,1178,669,182,19,182,736,0.727952,0.247283,18,2,580,8,1,G,H,S,M,N,3,2,L,D,27
SWV356-1.p,130,2832,2962,6405,33146,92,669,130,2558,1185,669,181,18,181,736,0.729447,0.245924,18,2,596,9,1,G,H,S,M,N,3,2,L,D,27
SWW298+1.p,194,7158,7352,18507,219848,71,1514,194,5744,4235,1600,303,16,303,1862,0.799868,0.162728,11,3,2666,22,3,G,H,S,M,N,3,3,L,D,27
FLD016-3.p,2,31,33,84,284,2,8,2,28,0,0,8,2,8,8,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M,28
FLD016-5.p,2,33,35,86,290,2,10,2,30,0,0,10,2,10,10,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M,28
FLD022-3.p,2,31,33,84,284,2,8,2,28,0,0,8,2,8,8,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M,28
FLD066-3.p,2,33,35,86,288,2,10,2,30,0,0,10,2,10,10,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M,28
FLD068-4.p,2,30,32,83,281,2,7,2,27,0,0,7,2,7,7,0,1,2,1,6,2,1,G,U,N,F,G,2,1,M,M,28
SWB013+2.p,1,51,52,182,731,1,19,1,45,2,0,19,1,19,19,0,1,7,4,42,2,1,G,U,S,F,G,3,3,L,M,28
SWB017+1.p,111,1048,1159,5193,21407,4,207,111,746,176,0,202,1,202,209,0.024155,0.966507,7,3,668,2,1,G,H,S,M,N,3,3,L,M,28
SWB049+1.p,111,1046,1157,5191,21399,4,205,111,744,176,0,200,1,200,207,0.02439,0.966184,7,3,668,2,1,G,H,S,M,N,3,3,L,M,28
SWC076+1.p,17,186,203,733,2146,2,20,17,115,93,6,20,3,20,20,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,28
SWC106-1.p,14,189,203,635,1930,2,59,14,152,87,3,17,3,21,63,0.711864,0.333333,2,1,54,5,1,G,H,S,M,N,2,1,L,M,28
SWC118+1.p,17,186,203,735,2151,2,20,17,115,93,6,20,4,20,20,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,28
SWC355+1.p,14,188,202,726,2121,2,17,14,115,90,3,17,3,19,19,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,28
SYN469+1.p,43,141,184,711,1119,0,0,43,73,0,0,0,43,4,4,0,1,0,0,0,1,1,G,H,N,F,G,0,0,S,M,28
CSR099+2.p,746,40698,41444,69795,231862,2,32647,746,40180,1314,23,32626,2,32626,32675,0.000643,0.9985,9,1,2516,5,1,G,H,S,M,N,3,1,L,M,29
GEO271+1.p,40,218,258,3149,10191,2,13,40,127,245,5,13,2,13,13,0,1,18,4,220,3,1,G,H,S,F,N,3,3,L,M,29
GEO272+1.p,40,223,263,3157,10213,2,17,40,132,247,6,17,2,17,17,0,1,18,4,220,3,1,G,H,S,F,N,3,3,L,M,29
NUM557+1.p,13,112,125,453,1493,6,20,13,82,71,7,20,6,20,20,0,1,3,1,33,4,1,G,H,S,F,N,3,1,L,M,29
NUM607+1.p,11,187,198,731,2655,4,35,11,148,110,12,35,4,35,35,0,1,4,1,76,5,1,G,H,S,F,N,3,1,L,M,29
SWB019+1.p,110,1052,1162,5196,21421,3,211,110,750,176,0,206,0,206,213,0.023697,0.967136,7,3,669,2,1,G,H,S,M,N,3,3,L,M,29
ALG421-1.p,34,809,843,2160,12245,17,115,34,688,475,85,80,5,80,120,0.304348,0.666667,3,2,48,7,1,G,H,S,M,N,3,2,L,D,30
ALG437-1.p,7,674,681,1476,8915,2,145,7,621,467,41,121,3,121,149,0.165517,0.812081,5,2,113,8,1,G,H,S,M,N,3,2,L,D,30
COL099-2.p,14,139,153,328,1586,11,8,14,115,43,22,3,1,3,14,0.625,0.214286,4,1,118,3,1,G,H,S,M,N,3,1,L,M,30
GEO205+3.p,17,32,49,127,397,7,2,17,7,0,0,2,1,2,9,0,0.222222,2,2,8,2,1,G,H,N,F,N,2,2,M,M,30
GEO290+1.p,47,254,301,3261,10622,8,41,47,155,273,25,41,8,41,41,0,1,18,4,236,3,1,G,H,S,F,N,3,3,L,M,30
GRP631+1.p,11,132,143,336,1163,6,69,11,111,11,1,32,7,32,69,0.536232,0.463768,6,1,42,4,1,G,H,S,M,N,3,1,L,M,30
GRP718-1.p,1,10,11,11,103,1,10,1,10,11,11,0,1,0,10,1,0,2,1,7,5,2,U,U,P,M,G,2,1,M,M,30
HWV033-1.p,9,83,92,371,1246,3,5,9,19,45,5,3,1,3,11,0.4,0.272727,2,1,8,3,1,G,H,S,S,N,2,1,M,M,30
KLE016+3.p,1,24,25,41,202,0,13,1,23,20,11,2,1,2,14,0.846154,0.142857,2,1,6,3,1,G,H,S,M,G,2,1,M,M,30
KLE073+1.p,1,19,20,22,192,1,17,1,19,20,18,0,1,0,17,1,0,2,1,6,7,2,H,U,S,M,G,2,1,M,D,30
KLE098+1.p,1,20,21,23,199,1,18,1,20,21,19,1,1,1,18,0.944444,0.055556,2,1,6,9,2,H,U,S,M,G,2,1,M,D,30
KLE115+1.p,1,19,20,22,198,1,17,1,19,20,18,0,1,0,17,1,0,2,1,6,9,2,H,U,S,M,G,2,1,M,D,30
KLE116+1.p,1,19,20,22,216,1,17,1,19,20,18,0,1,0,17,1,0,2,1,6,15,2,H,U,S,M,G,2,1,M,D,30
KLE128+1.p,1,23,24,27,270,1,20,1,23,24,22,2,1,2,20,0.9,0.1,2,1,8,10,3,H,U,S,M,G,2,1,M,D,30
LAT343+1.p,10,193,203,575,1771,7,50,10,96,9,0,37,6,37,51,0.26,0.72549,4,1,43,4,1,G,H,S,M,N,3,1,L,M,30
LAT346+1.p,12,213,225,671,1945,9,52,12,110,14,0,39,8,39,53,0.25,0.735849,3,1,41,4,1,G,H,S,M,N,3,1,L,M,30
LAT380+1.p,21,406,427,2396,6289,8,98,21,246,6,0,94,9,98,106,0.040816,0.924528,4,1,49,4,1,G,H,S,M,N,3,1,L,M,30
NUM479+1.p,3,59,62,254,797,3,6,3,42,46,3,6,3,6,6,0,1,2,2,12,4,1,G,U,S,F,G,2,2,M,M,30
NUM480+1.p,3,60,63,255,808,3,7,3,43,47,4,7,3,7,7,0,1,2,2,12,4,1,G,U,S,F,G,2,2,M,M,30
NUM507+1.p,12,80,92,331,1034,10,16,12,53,64,9,16,10,16,16,0,1,2,1,14,3,1,G,H,S,F,N,2,1,M,M,30
REL019+2.p,1,17,18,18,271,1,17,1,17,18,18,2,1,2,17,0.882353,0.117647,2,1,6,11,3,U,U,P,M,G,2,1,M,D,30
REL019-2.p,1,17,18,18,271,1,17,1,17,18,18,2,1,2,17,0.882353,0.117647,2,1,6,11,3,U,U,P,M,G,2,1,M,D,30
REL047+1.p,1,14,15,15,139,1,14,1,14,15,15,2,1,2,14,0.857143,0.142857,2,1,6,5,2,U,U,P,M,G,2,1,M,M,30
REL047-1.p,1,14,15,15,139,1,14,1,14,15,15,2,1,2,14,0.857143,0.142857,2,1,6,5,2,U,U,P,M,G,2,1,M,M,30
SCT064-1.p,25,573,598,1264,11322,13,156,25,519,236,121,9,4,10,169,0.942308,0.059172,5,3,145,6,1,G,H,S,M,N,3,3,L,D,30
SCT122+1.p,26,731,757,1873,15861,6,145,26,581,357,110,15,1,15,179,0.896552,0.083799,8,3,446,7,1,G,H,S,M,N,3,3,L,D,30
SET042-3.p,5,159,164,421,1969,2,11,5,139,50,0,5,1,5,24,0.545455,0.208333,5,1,87,6,1,G,H,S,M,N,3,1,L,D,30
SET609+3.p,2,19,21,45,183,1,3,2,15,8,3,0,1,0,5,1,0,2,2,10,3,1,G,H,S,S,N,2,2,M,M,30
SET612+3.p,2,22,24,51,209,1,4,2,18,8,3,0,1,0,6,1,0,2,2,10,3,1,G,H,S,M,N,2,2,M,M,30
SET613+3.p,2,21,23,51,211,1,3,2,16,10,3,0,1,0,6,1,0,2,2,12,3,1,G,H,S,S,N,2,2,M,M,30
SET692+4.p,3,28,31,69,257,1,0,3,22,5,0,0,1,1,3,0,0.333333,2,1,18,2,1,G,H,S,F,N,2,1,M,M,30
SET693+4.p,3,28,31,69,257,1,0,3,22,5,0,0,1,1,3,0,0.333333,2,1,18,2,1,G,H,S,F,N,2,1,M,M,30
SET697+4.p,3,30,33,71,267,1,2,3,24,5,0,2,1,3,5,0,0.6,2,1,18,3,1,G,H,S,F,N,2,1,M,M,30
SET701+4.p,3,30,33,71,275,1,2,3,24,5,0,2,1,3,5,0,0.6,2,1,18,3,1,G,H,S,F,N,2,1,M,M,30
SET801+4.p,3,138,141,459,2230,1,2,3,57,22,0,2,1,4,28,0,0.142857,4,2,60,2,1,G,H,S,F,N,3,2,L,M,30
SET802+4.p,3,138,141,459,2230,1,2,3,57,22,0,2,1,4,28,0,0.142857,4,2,60,2,1,G,H,S,F,N,3,2,L,M,30
SET814+4.p,4,77,81,217,918,2,1,4,43,7,0,1,1,1,23,0,0.043478,3,1,43,3,1,G,H,S,F,N,3,1,L,M,30
SET858-1.p,42,1325,1367,2591,8810,36,185,42,1292,134,91,125,9,125,193,0.324324,0.647668,6,3,327,4,1,G,H,S,M,N,3,3,L,M,30
SEU132+2.p,8,60,68,152,619,2,15,8,46,42,8,3,2,3,25,0.8,0.12,3,2,24,2,1,G,H,S,M,N,3,2,L,M,30
SEU215+2.p,22,357,379,1087,5228,9,48,22,287,205,26,22,3,22,71,0.541667,0.309859,5,2,196,5,1,G,H,S,M,N,3,2,L,M,30
SEU225+2.p,22,413,435,1377,6227,9,54,22,330,238,26,26,3,26,77,0.518519,0.337662,5,2,212,5,1,G,H,S,M,N,3,2,L,M,30
SEU265+1.p,6,31,37,81,349,2,8,6,27,13,1,3,1,3,9,0.625,0.333333,3,1,26,4,1,G,H,S,M,N,3,1,L,M,30
SEU266+1.p,6,31,37,81,351,2,8,6,27,13,1,3,1,3,9,0.625,0.333333,3,1,26,4,1,G,H,S,M,N,3,1,L,M,30
SEU363+1.p,6,58,64,126,428,3,21,6,53,7,2,17,3,17,25,0.190476,0.68,2,1,19,3,1,G,H,S,M,N,2,1,M,M,30
SWC015-1.p,14,183,197,637,1938,2,59,14,149,87,3,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC022-1.p,14,183,197,637,1928,2,59,14,149,85,3,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC079-1.p,14,183,197,637,1928,2,59,14,149,85,3,17,2,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC120-1.p,14,183,197,633,1918,2,59,14,149,85,3,17,3,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC163-1.p,14,191,205,638,1937,3,63,14,150,92,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC164-1.p,14,191,205,638,1937,3,63,14,150,92,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC165-1.p,14,197,211,652,1981,3,63,14,154,98,8,21,3,31,73,0.666667,0.424658,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC166-1.p,14,184,198,617,1873,3,64,14,151,84,4,22,3,22,64,0.65625,0.34375,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC169-1.p,14,189,203,628,1909,3,63,14,150,90,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC170+1.p,14,188,202,720,2102,3,22,14,117,89,4,22,3,22,22,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,30
SWC170-1.p,14,185,199,619,1879,3,64,14,152,84,4,22,3,22,64,0.65625,0.34375,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC171-1.p,14,191,205,638,1937,3,63,14,150,92,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC172-1.p,14,191,205,638,1937,3,63,14,150,92,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC173-1.p,14,197,211,652,1981,3,63,14,154,98,8,21,3,31,73,0.666667,0.424658,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC174-1.p,14,184,198,617,1873,3,64,14,151,84,4,22,3,22,64,0.65625,0.34375,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC177-1.p,14,189,203,628,1909,3,63,14,150,90,6,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC178+1.p,14,188,202,720,2102,3,22,14,117,89,4,22,3,22,22,0,1,2,1,57,5,1,G,H,S,F,N,2,1,L,M,30
SWC178-1.p,14,185,199,619,1879,3,64,14,152,84,4,22,3,22,64,0.65625,0.34375,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC188-1.p,14,191,205,638,1937,3,63,14,150,93,7,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC192-1.p,14,189,203,628,1909,3,63,14,150,91,7,21,3,27,69,0.666667,0.391304,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC253-1.p,14,183,197,631,1910,2,59,14,149,85,3,17,3,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC314-1.p,14,187,201,639,1948,2,58,14,151,93,8,16,3,19,61,0.724138,0.311475,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC354-1.p,14,183,197,631,1912,2,59,14,149,85,3,17,3,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC366-1.p,14,183,197,635,1926,2,59,14,149,85,3,17,3,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWC382-1.p,14,183,197,633,1916,2,59,14,149,85,3,17,3,17,59,0.711864,0.288136,2,1,54,5,1,G,H,S,M,N,2,1,L,M,30
SWV024+1.p,3,278,281,1892,8732,2,61,3,121,190,24,44,2,44,78,0.278689,0.564103,7,3,130,9,1,G,H,S,M,N,3,3,L,D,30
SWV028+1.p,3,266,269,1561,7201,2,53,3,109,190,24,36,2,36,70,0.320755,0.514286,7,3,130,9,1,G,H,S,M,N,3,3,L,D,30
SWV031+1.p,3,223,226,903,5531,2,64,3,104,148,24,47,2,47,81,0.265625,0.580247,7,3,130,9,1,G,H,S,M,N,3,3,L,D,30
SWV114+1.p,3,260,263,1049,5883,2,62,3,108,154,25,45,2,45,79,0.274194,0.56962,7,3,130,9,1,G,H,S,M,N,3,3,L,D,30
